,host_response_rate,host_acceptance_rate,price,availability_365,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,room_type
10107,100.0,99.0,1529.0,269,50.0,4.8,5.0,4.88,1.59,Entire home/apt
10108,98.6,98.0,2043.0,360,6.0,4.83,4.9,4.67,0.19,Entire home/apt
10109,98.6,98.0,1400.0,354,12.0,4.83,4.9,5.0,0.38,Entire home/apt
10110,100.0,90.0,1250.0,300,44.0,4.89,4.82,4.93,1.46,Entire home/apt
10111,100.0,100.0,1408.0,362,16.0,4.69,4.81,4.94,0.51,Entire home/apt
10112,94.5,100.0,1827.0,362,0.0,4.7,4.8,4.8,1.7,Private room
10113,90.0,86.0,790.0,303,12.0,4.75,4.5,4.9,0.42,Entire home/apt
10114,94.5,100.0,1827.0,361,6.0,4.8,4.9,4.9,0.19,Private room
10115,94.5,91.5,1100.0,0,3.0,5.0,4.67,5.0,0.1,Entire home/apt
10116,94.5,91.5,1100.0,0,1.0,4.8,4.9,5.0,0.04,Entire home/apt
10117,99.0,100.0,2102.0,338,68.0,4.68,4.75,4.96,2.36,Entire home/apt
10118,98.6,100.0,1946.0,361,23.0,4.83,4.65,4.96,0.73,Entire home/apt
10119,100.0,88.0,189.0,327,2.0,4.5,5.0,5.0,1.5,Private room
10120,98.6,100.0,1946.0,361,37.0,4.81,4.68,4.92,1.17,Entire home/apt
10121,94.5,91.5,1100.0,0,2.0,5.0,5.0,5.0,0.06,Entire home/apt
10122,100.0,100.0,1098.0,243,20.2,4.87,4.9,4.75,3.8,Entire home/apt
10123,98.6,100.0,1946.0,361,16.0,4.5,4.63,5.0,0.51,Entire home/apt
10124,90.0,99.0,1721.0,359,59.0,4.71,4.73,4.92,1.86,Entire home/apt
10125,100.0,100.0,650.0,344,42.0,4.98,5.0,4.88,1.36,Private room
10126,98.6,99.0,1800.0,340,19.0,4.53,4.58,4.95,0.6,Entire home/apt
10127,100.0,99.0,2214.0,363,3.0,5.0,5.0,5.0,0.1,Entire home/apt
10128,100.0,100.0,527.0,359,14.0,4.8,4.64,4.64,0.44,Private room
10129,100.0,100.0,237.0,362,66.0,4.44,4.79,4.82,2.31,Private room
10130,100.0,99.0,2000.0,343,8.0,5.0,4.88,5.0,0.27,Entire home/apt
10131,100.0,95.0,454.0,153,10.0,4.8,4.9,5.0,0.32,Private room
10132,100.0,100.0,1062.7,355,4.0,5.0,5.0,5.0,0.13,Private room
10133,99.0,100.0,320.0,349,96.0,4.8,4.91,4.66,3.08,Entire home/apt
10134,98.0,100.0,1100.0,362,42.0,4.55,4.67,4.93,1.43,Entire home/apt
10135,94.5,91.5,246.0,365,0.0,4.7,4.8,4.8,1.7,Private room
10136,91.0,79.0,450.0,348,19.0,4.42,4.58,4.84,0.6,Private room
10137,100.0,100.0,450.0,209,4.0,5.0,5.0,4.75,0.15,Private room
10138,98.6,99.0,1950.0,336,2.0,4.5,4.9,5.0,0.09,Entire home/apt
10139,94.5,100.0,1700.0,365,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10140,98.6,99.0,1800.0,336,34.0,4.82,4.82,4.97,1.08,Entire home/apt
10141,98.6,99.0,2400.0,340,9.0,5.0,4.78,5.0,0.36,Entire home/apt
10142,100.0,88.0,350.0,282,7.0,4.57,4.86,5.0,0.28,Private room
10143,100.0,99.0,600.0,344,28.0,5.0,5.0,4.86,2.13,Private room
10144,94.5,91.5,1062.7,90,4.0,5.0,5.0,5.0,0.13,Entire home/apt
10145,100.0,100.0,986.0,340,20.2,4.94,4.98,4.91,1.4,Entire home/apt
10146,100.0,88.0,1750.0,143,13.0,4.77,4.92,4.92,0.41,Entire home/apt
10147,100.0,100.0,1196.0,60,57.0,4.72,4.93,4.96,1.82,Entire home/apt
10148,100.0,100.0,315.0,355,1.0,5.0,5.0,5.0,0.14,Private room
10149,100.0,100.0,857.0,138,41.0,4.93,4.98,4.93,1.38,Entire home/apt
10150,100.0,97.3,311.0,175,3.0,4.67,5.0,4.9,0.1,Private room
10151,100.0,99.0,1774.0,316,72.0,4.82,4.72,4.92,2.33,Entire home/apt
10152,90.0,99.0,2175.0,361,16.0,4.94,4.5,4.81,0.51,Entire home/apt
10153,98.0,100.0,1033.0,362,20.2,4.7,4.73,4.9,4.14,Entire home/apt
10154,100.0,90.0,796.0,306,40.0,4.7,4.8,4.95,1.3,Entire home/apt
10155,98.6,100.0,400.0,0,1.0,5.0,5.0,5.0,0.1,Private room
10156,100.0,98.0,250.0,269,8.0,5.0,5.0,5.0,0.72,Private room
10157,95.0,100.0,1457.0,365,46.0,4.87,4.91,4.93,1.53,Entire home/apt
10158,100.0,100.0,1408.0,362,8.0,4.75,4.88,4.75,0.25,Entire home/apt
10159,100.0,93.0,953.0,143,50.0,4.9,4.92,4.88,1.71,Entire home/apt
10160,98.6,97.3,204.0,324,3.0,4.67,5.0,5.0,0.1,Private room
10161,90.0,99.0,1721.0,359,73.0,4.53,4.9,4.88,2.31,Entire home/apt
10162,98.6,97.3,208.0,335,1.0,5.0,5.0,5.0,0.25,Private room
10163,100.0,97.3,460.0,359,15.0,4.87,4.73,4.73,0.48,Private room
10164,90.0,99.0,1669.0,361,81.0,4.68,4.75,4.88,2.6,Entire home/apt
10165,98.6,97.3,750.0,332,7.0,4.8,4.9,4.71,0.23,Entire home/apt
10166,100.0,91.0,600.0,22,22.0,4.36,4.68,4.5,0.7,Entire home/apt
10167,100.0,99.0,330.0,86,8.0,4.5,5.0,5.0,0.26,Private room
10168,100.0,97.3,595.0,345,3.0,5.0,5.0,5.0,0.15,Private room
10169,100.0,100.0,1485.0,319,44.0,4.82,4.84,4.95,1.4,Entire home/apt
10170,98.6,100.0,230.0,365,0.0,4.7,4.8,4.8,1.7,Private room
10171,96.0,99.0,976.0,230,20.2,4.81,4.81,4.95,1.4,Private room
10172,100.0,96.0,1740.0,121,59.0,4.63,4.64,4.95,1.88,Entire home/apt
10173,98.6,97.3,410.0,339,7.0,5.0,4.71,5.0,1.4,Private room
10174,94.5,91.5,225.0,365,0.0,4.7,4.8,4.8,1.7,Private room
10175,97.0,99.0,1247.0,263,39.0,4.82,4.74,4.9,1.28,Private room
10176,100.0,94.0,1764.0,59,21.0,4.9,5.0,4.95,0.7,Entire home/apt
10177,100.0,100.0,1961.0,142,51.0,4.92,4.94,4.88,2.07,Entire home/apt
